stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
BEE6841o,BEE6841o,BEECHMONT AVE 6841,BEECHMONT AVE & JANLIN CT,39.079512,-84.370652,,,,,0
BEE7125o,BEE7125o,BEECHMONT AVE 7125,BEECHMONT AVE & JANLIN CT,39.073878,-84.362572,,,,,0
BEETOWNo,BEETOWNo,BEECHMONT AVE & TOWNE CENTER WY,BEECHMONT AVE & FOREST RD,39.072699,-84.347139,,,,,0
8MIWINo,8MIWINo,EIGHT MILE RD & WINSTONE CT,EIGHT MILE RD & CHERRY LN,39.074678,-84.322357,,,,,0
8MISUMHo,8MISUMHo,EIGHT MILE RD & SUMMIT HILLS SWIM,EIGHT MILE RD & CHERRY LN,39.08451,-84.322236,,,,,0
8MI1722o,8MI1722o,EIGHT MILE RD 1722,,39.08194,-84.322474,,,,,0
RIV5675e,RIV5675e,RIVER RD 5675,RIVER RD & DART ST,39.098979,-84.666559,,,,,0
BEE6900i,BEE6900i,BEECHMONT AVE 6900,BEECHMONT AVE & CHERRY LN,39.078869,-84.368925,,,,,0
BEE6774i,BEE6774i,BEECHMONT AVE 6774,BEECHMONT AVE & CHERRY LN,39.080896,-84.372284,,,,,0
BLEEKNOo,BLEEKNOo,BLEEKER LN & KNOB CT,BLEECKER LN & KNOB CT,39.138442,-84.552662,,,,,0
PRE3710o,PRE3710o,PRESIDENT DR 3710,PRESIDENT DR & FARADAY RD,39.152825,-84.561094,,,,,0
DAL1909i,DAL1909i,DALTON AV 1909,DALTON AVE & FARADAY RD,39.11798,-84.535562,,,,,0
BEE6881o,BEE6881o,BEECHMONT AVE 6881,,39.078967,-84.369532,,,,,0
RIV4673e,RIV4673e,RIVER RD 4673,RIVER RD & STILLE DR,39.080353,-84.633096,,,,,0
RIV3799e,RIV3799e,RIVER RD 3799,RIVER RD & BOWDITCH ST,39.077458,-84.599534,,,,,0
CROCROW,CROCROW,CROWNE POINT DR & CROWNE POINT PL,CROWNE PT & CINCINNATI DAYTON RD,39.265813,-84.435264,,,,,0
RIV6060o,RIV6060o,RIVER ROAD 6060,RIVER RD & CINCINNATI DAYTON RD,39.102352,-84.680201,,,,,0
THR5725o,THR5725o,THREE RIVERS PARKWAY 5725,THREE RIVERS PKWY & RIVER RD,39.134048,-84.708669,,,,,0
DALSHERo,DALSHERo,DALTON & SHERMAN AVENUES,DALTON AVE & SHERMAN AVE,39.115142,-84.53564,,,,,0
SPRCOLo,SPRCOLo,SPRING GROVE AVE & COLERAIN AVE,,39.154253,-84.541954,,,,,0
MITESTo,MITESTo,W MITCHELL AVE & ESTE AVE,W MITCHELL AVE & CLIFTON AVE,39.170405,-84.51442,,,,,0
EST4530o,EST4530o,ESTE AVE 4530,ESTE AVE & CLIFTON AVE,39.172031,-84.512203,,,,,0
DAL8642o,DAL8642o,DALY RD 8642,DALY RD & HEMPSTEAD DR,39.224037,-84.530191,,,,,0
HAM8012o,HAM8012o,HAMILTON AVE 8012,HAMILTON AVE & ADAMS RD,39.239316,-84.547481,,,,,0
WINTOPi,WINTOPi,WINNESTE AVE & TOP RIDGE PL,WINNESTE AVE & DUTCH COLONY DR,39.181926,-84.512435,,,,,0
EST4531i,EST4531i,ESTE AVE 4531,ESTE AVE & EAST EPWORTH AVE,39.172021,-84.512541,,,,,0
SPRIMILi,SPRIMILi,SPRING GROVE AVE & MILLCREEK RD,SPRING GROVE AVE & W MITCHELL AVE,39.15361,-84.542549,,,,,0
CENT12Ti,CENT12Ti,CENTRAL AVE & W. 12TH ST,CENTRAL AVE & W 12TH ST,39.10723,-84.520993,,,,,0
MOS12011,MOS12011,MOSTELLER RD 12011,MOSTELLER RD & ENTERPRISE DR,39.293741,-84.428688,,,,,0
KEM3160,KEM3160,KEMPER RD 3160,E KEMPER RD & ROCKFIELD CT,39.283603,-84.417925,,,,,0
DAL6423i,DAL6423i,DALY RD 6423,DALY RD & HOLLYWOOD AVE,39.205699,-84.532095,,,,,0
NORTAHi,NORTAHi,W NORTH BEND RD & TAHITI DR,,39.201917,-84.530805,,,,,0
NORWINTi,NORWINTi,W NORTH BEND RD & WINTON RD,W NORTH BEND RD & SUNRIDGE DR,39.201326,-84.52191,,,,,0
WOO120e,WOO120e,WOOSTER PK 120,WOOSTER PIKE & FERRY ST,39.169589,-84.299944,,,,,0
MAINKRG2,MAINKRG2,MAIN ST & KROGER,MAIN ST & FERRY ST,39.177527,-84.281844,,,,,0
MAINKRG3,MAINKRG3,MAIN ST & KROGER,MAIN ST & FERRY ST,39.177704,-84.280733,,,,,0
MAIMIDe,MAIMIDe,MAIN ST MIDDLE BLOCK,MAIN ST & FERRY ST,39.179771,-84.277925,,,,,0
CREMIDe,CREMIDe,CRESTVIEW DR MIDDLE BLOCK,CRESTVIEW DR & FERRY ST,39.180205,-84.275471,,,,,0
WOO25w,WOO25w,WOOSTER PK 25,WOOSTER PIKE & FERRY ST,39.171222,-84.299345,,,,,0
WOO119w,WOO119w,WOOSTER PK 119,WOOSTER PIKE & FERRY ST,39.169946,-84.29999,,,,,0
WOO960w,WOO960w,WOOSTER PK 960,WOOSTER PIKE & WRENWOOD LN,39.159222,-84.318324,,,,,0
WOOWILLw,WOOWILLw,WOOSTER RD & WILLOW RUN LN,WOOSTER RD & WRENWOOD LN,39.148715,-84.33204,,,,,0
WOO3812w,WOO3812w,WOOSTER PK 3812,WOOSTER RD & SPRING ST,39.144108,-84.365935,,,,,0
RIVVANw,RIVVANw,RIVERSIDE DR & VANCE ST,EASTERN AVE & VANCE ST,39.121886,-84.474606,,,,,0
COLBEEo,COLBEEo,COLUMBIA PKWY & BEECHMONT AVE,,39.12074,-84.418279,,,,,0
MONHAMo,MONHAMo,MONTGOMERY RD & HAMPTON DR,MONTGOMERY RD & BELKENTON AVE,39.190316,-84.409078,,,,,0
MONPARo,MONPARo,MONTGOMERY RD & PARKVIEW LN,,39.19242,-84.40327,,,,,0
PLA6930o,PLA6930o,PLAINFIELD RD 6930,PLAINFIELD RD & PARKVIEW LN,39.194632,-84.400371,,,,,0
BLUGLENo,BLUGLENo,BLUE ASH AVE & GLENWAY AVE,,39.19961,-84.397868,,,,,0
